,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
90274,20,5,0,0,40,0.98,1,0.47,0.08,17,0.07,0.06,1,1,0
24629,44,9,516,4,408,0,0,1,0,255,1,0,0,0,4
83636,33,1,0,0,255,0,0,0.05,0.07,14,0.05,0.07,0,0,0
112647,20,9,2194619,0,1,0,0,1,0,93,0.58,0.06,0,0,4
47040,20,9,6932,0,2,0,0,1,0,80,0.47,0.09,0,0,4
54467,36,1,0,0,242,0,0,0.06,0.07,14,0.05,0.08,0,0,0
5230,31,1,0,0,113,0,0,0.16,0.07,18,0.07,0.05,0,0,0
95592,60,5,0,0,78,1,1,0.24,0.05,59,0.23,0.02,1,1,0
18856,12,9,45,82,243,0,0,1,0,254,1,0.01,0,0,4
101232,28,1,0,0,266,0,0,0.03,0.06,7,0.03,0.09,0,0,0
26385,49,5,0,0,291,1,1,0.06,0.06,5,0.02,0.07,1,1,0
125166,24,9,238,1471,7,0,0,1,0,255,1,0,0,0,4
24587,20,9,15722,0,2,0,0,1,0,30,0.12,0.05,0.48,0,4
110616,4,5,0,0,293,1,1,0.08,0.05,23,0.09,0.05,1,1,0
50146,12,9,17,0,1,0,0,1,0,1,1,0,0,0,4
36219,5,5,0,0,232,1,1,0.07,0.06,16,0.06,0.08,1,1,0
82462,49,5,0,0,231,1,1,0.08,0.06,18,0.07,0.07,1,1,0
96121,54,6,2280,286,1,1,1,1,0,153,0.6,0.01,0,0.01,4
67773,19,9,321,1063,1,0,0,1,0,31,0.17,0.02,0,0,4
20492,24,1,0,0,1,0,0,1,0,181,1,0,0,0,4
49003,38,1,0,0,247,0,0,0.08,0.06,20,0.08,0.07,0,0,0
120745,24,9,253,2912,1,0,0,1,0,255,1,0,0,0,4
119056,49,5,0,0,96,1,1,0.07,0.05,7,0.03,0.04,1,1,0
19176,49,5,0,0,243,1,1,0,0.05,1,0.01,0.07,0.92,1,0
22753,54,9,932,327,1,0,0,1,0,171,0.75,0.25,0,0,4
34057,49,5,0,0,149,1,1,0.13,0.05,9,0.04,0.06,1,1,0
123349,24,9,309,418,25,0,0,1,0,255,1,0,0,0,4
37641,60,9,141,2851,1,0,0,1,0,6,1,0,0,0,4
68280,24,9,337,398,5,0,0,1,0,255,1,0,0,0,4
13015,24,9,350,1183,17,0,0,1,0,255,1,0,0,0,4
122379,24,9,207,24293,2,0,0,1,0,255,1,0,0,0,4
9122,12,9,44,131,127,0,0,0.99,0.02,218,0.85,0.02,0,0,4
73076,10,5,0,0,243,1,1,0.03,0.06,7,0.03,0.05,1,1,0
37579,54,9,622,328,1,0,0,1,0,177,0.7,0.03,0,0,4
15657,43,9,48,48,4,0,0,0.25,0.5,142,0.56,0.01,0,0,4
120537,54,9,1303,328,1,0,0,1,0,175,0.71,0.02,0,0,4
26879,49,5,0,0,30,1,1,0.1,0.17,3,0.01,0.08,1,1,0
64399,0,4,718,8185,1,0,0,1,0,1,0.25,0.5,0,0,4
14097,49,5,0,0,244,1,1,0.05,0.06,11,0.04,0.08,1,1,0
44601,14,9,8,0,1,0,0,1,0,137,1,0,0,0,1
73250,20,9,10073,0,15,0,0,1,0,69,0.36,0.03,0,0,4
4247,24,9,354,398,2,0,0,1,0,255,1,0,0,0,4
44729,24,9,331,8151,1,0,0,1,0,255,1,0,0,0,4
33819,24,9,339,11529,12,0,0,1,0,255,1,0,0,0,4
13151,24,9,297,901,16,0,0,1,0,255,1,0,0,0,4
47867,42,2,0,0,122,0,0,0.15,0.07,18,0.07,0.07,0,0,0
98923,24,9,224,641,9,0,0,1,0,255,1,0,0,0,4
103222,49,5,0,0,197,1,1,0.02,0.09,4,0.02,0.07,1,1,0
39366,15,9,1032,0,499,0,0,1,0,255,1,0,0,0,0
97204,8,4,0,0,1,0,0,1,0,1,0,1,0,0,1
27333,49,5,0,0,276,1,1,0.01,0.05,3,0.01,0.06,1,1,0
79732,24,9,211,1138,2,0,0,1,0,255,1,0,0,0,4
10318,54,2,0,0,253,0,0,0.01,0.06,2,0.01,0.08,0,0,0
27137,59,5,0,0,262,1,1,0.08,0.05,22,0.09,0.05,1,1,0
84805,12,9,45,110,1,0,0,1,0,65,0.93,0.03,0,0,4
23443,49,5,0,0,275,1,1,0.07,0.07,19,0.07,0.06,1,1,0
16412,49,5,0,0,218,1,1,0.03,0.07,6,0.02,0.06,1,1,0
15124,54,9,880,332,1,0,0,1,0,165,0.61,0.11,0,0,4
88470,49,5,0,0,148,1,1,0.13,0.05,23,0.09,0.06,1,1,0
120070,24,9,196,9976,12,0,0,1,0,255,1,0,0,0,4
12901,49,5,0,0,244,1,1,0.05,0.07,12,0.05,0.09,1,1,0
91972,12,9,43,43,267,0,0,1,0.01,246,0.96,0.01,0,0,4
73961,49,1,0,0,249,0,0,0.06,0.07,15,0.06,0.08,0,0,0
33081,49,5,0,0,169,1,1,0.07,0.07,1,0,0.07,1,1,0
28116,12,9,46,46,121,0,0,0.99,0.02,254,1,0.01,0,0,4
80517,15,9,520,0,166,0,0,1,0,255,1,0,0,0,0
39762,6,5,0,0,101,1,1,0.01,0.07,1,0,0.06,1,1,0
109681,49,5,0,0,263,1,1,0.07,0.06,5,0.02,0.03,1,1,0
39242,49,5,0,0,190,1,1,0.03,0.07,6,0.02,0.06,1,1,0
8014,24,9,352,1315,11,0,0,1,0,255,1,0,0,0,4
26542,54,9,757,328,1,0,0,1,0,144,0.64,0.06,0,0,4
9515,36,5,0,0,294,1,1,0.06,0.05,9,0.04,0.08,1,1,0
109488,13,5,0,0,270,1,1,0.07,0.06,20,0.08,0.06,1,1,0
82433,40,1,0,0,269,0,0,0.02,0.06,5,0.02,0.08,0,0,0
112828,20,9,43003,0,1,0,0,1,0,96,0.49,0.07,0,0,4
15934,66,5,0,0,124,1,1,0.02,0.06,2,0.01,0.05,1,1,0
97988,18,9,9,268,1,0,0,1,0,5,0.02,0.02,0,0,4
118352,49,5,0,0,225,1,1,0.03,0.07,6,0.02,0.08,1,1,0
26060,5,5,0,0,229,1,1,0.07,0.06,17,0.07,0.07,1,1,0
57288,54,9,2091,330,1,0,0,1,0,148,0.58,0.05,0,0,4
95318,49,5,0,0,148,1,1,0.06,0.05,4,0.02,0.06,1,1,0
70307,24,9,231,2698,3,0,0,1,0,253,0.99,0.01,0,0,4
80619,20,9,9198,0,6,0,0,1,0,12,0.05,0.51,0,0,4
24357,24,9,242,198,1,0,0,1,0,255,1,0,0,0,4
53835,24,9,311,2164,5,0,0,1,0,255,1,0,0,0,4
96731,24,9,341,535,21,0,0,1,0,255,1,0,0,0,4
10006,60,6,1680,16934,2,0.5,1,0.5,1,3,0.01,0.02,0,0.33,4
106985,24,9,215,6830,25,0,0,1,0,255,1,0,0,0,4
60025,24,9,229,5329,7,0,0.05,1,0,255,1,0,0,0,4
75143,20,9,8173,0,1,0,0,1,0,15,0.14,0.06,0,0,4
6283,19,9,336,1052,1,0,0,1,0,29,0.16,0.04,0,0,4
95775,49,5,0,0,119,1,1,0.11,0.07,13,0.11,0.08,1,1,0
30347,37,5,0,0,197,1,1,0.1,0.06,19,0.07,0.07,1,1,0
53196,11,5,0,0,230,1,1,0.04,0.07,9,0.04,0.08,1,1,0
9375,51,4,0,0,1,0,0,1,0,1,0.01,0.61,0.05,0,1
29004,14,9,8,0,1,0,0,1,0,10,1,0,0,0,1
62798,49,1,0,0,283,0,0,0,0.53,1,0,0.52,0,0,1
29775,24,9,244,770,23,0,0,1,0,255,1,0,0,0,4
88565,44,9,516,4,199,0,0,1,0,199,1,0,0,0,4
109538,24,9,224,2698,14,0,0,1,0,255,1,0,0,0,4
26552,2,5,0,0,263,1,1,0.07,0.07,18,0.07,0.07,1,1,0
60298,24,9,309,1643,2,0,0,1,0,254,1,0,0,0,4
7732,56,5,0,0,281,1,1,0.01,0.05,4,0.02,0.05,1,1,0
70987,49,5,0,0,119,1,1,0.15,0.07,18,0.07,0.09,1,1,0
115418,49,1,0,0,85,0,0,0.09,0.07,8,0.03,0.06,0,0,0
33735,24,9,298,189,25,0,0,1,0,255,1,0,0,0,4
94623,12,9,45,134,66,0,0,1,0,229,0.9,0.01,0,0,4
53704,49,5,0,0,145,1,1,0.14,0.06,19,0.07,0.06,1,1,0
34491,10,2,0,0,237,0,0,0.01,0.07,2,0.01,0.07,0,0,0
73455,20,9,1339,0,2,0,0,1,0,80,0.31,0.02,0,0,4
73744,49,5,0,0,114,1,1,0.12,0.06,14,0.05,0.09,1,1,0
115401,54,9,1468,357,1,0,0,1,0,73,0.69,0.05,0,0,4
21954,24,9,207,294,4,0,0,1,0,255,1,0,0,0,4
84528,68,1,0,0,180,0,0,0.02,0.07,4,0.02,0.08,0,0,0
4717,49,5,0,0,130,1,1,0.09,0.06,4,0.12,0.15,1,1,0
117774,44,9,146,105,2,0,0,1,0,2,0.03,0.52,0,0,4
83882,54,9,666,337,1,0,0,1,0,152,0.81,0.05,0,0,4
87843,24,9,340,7773,8,0,0,1,0,255,1,0,0,0,4
82497,12,9,44,70,232,0,0,1,0,255,1,0,0,0,4
29246,49,5,0,0,212,1,1,0.06,0.06,19,0.07,0.06,1,1,0
12139,12,9,44,131,72,0,0,1,0,254,1,0.01,0,0,4
93885,24,9,144,51836,1,0,0,1,0,255,1,0,0,0,4
24509,49,1,0,0,83,0,0,0.11,0.07,22,0.09,0.06,0,0,0
64030,20,9,5558,0,1,0,0,1,0,35,0.19,0.06,0,0,4
124082,63,5,0,0,230,1,1,0.02,0.05,5,0.02,0.06,1,1,0
70924,54,9,1696,329,1,0,0,1,0,121,0.7,0.02,0,0,4
58197,12,9,45,72,235,0,0,1,0,227,0.89,0.01,0,0,4
119999,49,5,0,0,122,1,1,0.11,0.07,13,0.2,0.12,1,1,0
108623,24,9,304,3222,6,0,0,1,0,253,0.99,0.01,0,0,4
14509,43,9,48,48,4,0,0,0.25,0.5,201,0.79,0.01,0,0,4
56363,24,9,238,2052,3,0,0,1,0,255,1,0,0,0,4
13232,60,5,0,0,298,1,1,0.06,0.06,19,0.07,0.07,1,1,0
62869,21,1,0,0,109,0,0,0.15,0.06,16,0.06,0.08,0,0,0
76883,2,1,0,0,257,0,0,0,0.07,1,0,0.07,0,0,0
98187,24,9,299,644,6,0,0,1,0,255,1,0,0,0,4
74550,24,9,250,1461,9,0,0,1,0,255,1,0,0,0,4
55172,11,5,0,0,280,1,1,0.04,0.06,3,0.01,0.08,1,1,0
79272,49,4,0,0,1,0,0,1,0,1,0,0.56,0,0,1
113929,20,9,832,0,1,0,0,1,0,31,1,0,0,0,2
72526,14,9,30,0,2,0,0,0.5,1,2,0.01,0.01,0,0,4
81311,24,9,230,27554,1,0,0,1,0,255,1,0,0,0,4
70355,24,9,320,14763,19,0,0,1,0,255,1,0,0,0,4
7222,49,1,0,0,109,0,0,0.06,0.08,7,0.03,0.08,0,0,0
33144,49,5,0,0,20,1,1,0.05,0.15,11,0.04,0.07,1,1,0
43571,20,9,12983,0,2,0,0,1,0,3,0.43,0.43,0,0,4
968,20,9,7196,0,9,0,0,1,0,55,0.33,0.05,0,0,4
114065,54,5,0,0,17,1,0.89,1,0,151,0.44,0.05,0.95,0.11,0
40496,54,9,1083,329,1,0,0,1,0,119,0.46,0.06,0,0,4
79284,26,5,0,0,145,1,1,0.11,0.06,4,0.02,0.07,1,1,0
14164,24,9,348,277,2,0,0,1,0,255,1,0,0,0,4
64326,5,5,0,0,259,1,1,0.04,0.05,11,0.04,0.05,1,1,0
103556,24,1,0,0,1,0,0,1,0,231,1,0,0,0,4
121036,66,5,0,0,122,1,1,0.03,0.06,14,0.05,0.07,1,1,0
48698,20,9,12,0,1,0,0,1,0,28,0.22,0.08,0,0.04,4
21752,24,9,303,1719,8,0,0,1,0,255,1,0,0.01,0,4
3411,24,9,336,3207,5,0,0,1,0,255,1,0,0,0,4
110715,24,9,314,6924,43,0,0,1,0,255,1,0,0,0,4
111748,69,5,0,0,140,1,1,0.14,0.05,20,0.08,0.06,1,1,0
99129,49,5,0,0,127,1,1,0.19,0.05,24,0.09,0.06,1,1,0
63513,14,9,8,0,1,0,0,1,0,179,1,0,0,0,1
87008,12,9,46,46,143,0,0,0.99,0.01,254,1,0.01,0,0,4
83891,15,9,520,0,422,0,0,1,0,255,1,0,0,0,0
30789,24,9,298,677,28,0,0,1,0,255,1,0,0,0,4
39279,24,9,342,5005,2,0,0,1,0,255,1,0,0,0,4
50773,24,9,219,281,13,0,0,1,0,255,1,0,0,0,4
105061,24,9,308,463,29,0,0,1,0,255,1,0,0,0,4
6070,1,9,7248552,1437092,2,0,0,1,0,2,0.18,0.36,0,0,4
92605,49,1,0,0,2,0,0,0.5,1,1,0,0.56,0,0,1
4618,37,5,0,0,94,1,1,0.18,0.06,12,0.05,0.07,1,1,0
95755,15,9,1032,0,511,0,0,1,0,33,0.13,0.18,0,0,0
111107,24,1,0,0,1,0,0,1,0,243,1,0,0,0,4
109869,20,9,71,0,1,0,0,1,0,25,0.44,0.09,0,0,4
73636,24,9,233,1380,4,0,0,1,0,219,0.86,0.04,0.02,0,4
4602,11,5,0,0,249,1,1,0.03,0.05,7,0.03,0.05,1,1,0
65800,24,1,0,0,1,0,0,1,0,234,1,0,0,0,4
115594,49,5,0,0,127,1,1,0.04,0.06,11,0.04,0.07,1,1,0
81714,44,9,61298,0,11,0.09,0,0.09,0.82,1,0.01,0.08,0.01,0,4
57212,24,9,313,613,10,0,0,1,0,255,1,0,0,0,4
112986,42,5,0,0,103,1,1,0.13,0.06,10,0.04,0.07,1,1,0
21769,12,9,45,79,93,0,0,1,0,254,1,0.01,0,0,4
123766,24,9,196,7203,2,0,0,1,0,255,1,0,0,0,4
9306,49,5,0,0,136,1,1,0.08,0.06,7,0.03,0.06,1,1,0
40086,69,5,0,0,276,1,1,0.09,0.05,24,0.09,0.05,1,1,0
81394,49,5,0,0,113,1,1,0.08,0.06,12,0.05,0.08,1,1,0
70464,49,3,0,0,180,0.67,0.5,0.01,0.4,2,0.01,0.28,0.47,0.5,1
121601,24,9,297,27084,3,0.33,0.33,1,0,255,1,0,0,0,4
49916,49,5,0,0,146,1,1,0.07,0.05,4,0.02,0.06,1,1,0
1637,49,5,0,0,144,1,1,0.09,0.06,10,0.04,0.05,1,1,0
12641,24,9,196,6194,2,0,0,1,0,255,1,0,0,0,4
75890,54,2,0,0,201,0,0,0,0.06,1,0,0.07,0,0,0
103037,24,9,224,3046,3,0,0,1,0,255,1,0,0,0,4
13191,12,9,45,110,2,0,0,1,0,209,0.91,0.01,0,0,4
38256,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
125628,60,5,0,0,256,1,1,0.02,0.06,2,0.01,0.09,1,1,0
71419,29,1,0,0,214,0,0,0.09,0.06,19,0.07,0.07,0,0,0
82719,49,9,28,0,46,0,0,1,0,46,0.18,0.02,0,0,0
73365,49,4,0,0,316,0,0,0.01,0.5,2,0.01,0.5,0,0,1
19151,24,9,225,1425,5,0,0,1,0,255,1,0,0,0,4
98947,65,9,182,0,2,0,0,0.5,1,19,0.07,0.01,0,0,4
25267,24,1,0,0,1,0,0,1,0,11,1,0,0,0.09,4
36540,12,9,46,135,77,0,0,1,0,255,1,0,0,0,4
2147,24,9,237,384,2,0,0,1,0,255,1,0,0,0,4
38020,24,9,252,1597,5,0,0,1,0,239,0.94,0.02,0,0,4
49520,24,9,248,2919,1,0,0,1,0,255,1,0,0,0.01,4
124483,49,5,0,0,40,1,1,0.08,0.12,15,0.06,0.08,1,1,0
34740,49,5,0,0,200,1,1,0,0.06,9,0.04,0.07,1,1,0
35820,24,9,292,7662,1,0,0,1,0,255,1,0,0,0,4
95663,24,9,314,6552,16,0,0,1,0,255,1,0,0,0,4
71780,24,9,195,3060,13,0,0,1,0,255,1,0,0,0,4
48470,49,5,0,0,135,1,1,0.05,0.07,20,0.08,0.06,1,1,0
104429,24,9,318,2435,47,0,0,1,0,255,1,0,0,0,4
44867,8,5,0,0,243,1,1,0.02,0.07,6,0.02,0.08,1,1,0
47162,12,9,43,77,224,0,0,1,0,255,1,0,0,0,4
16620,54,9,1333,363,1,0,0,1,0,167,0.95,0.04,0,0,4
1685,24,9,277,11830,2,0,0,1,0,255,1,0,0,0,4
83790,24,9,220,5860,1,0,0,1,0,255,1,0,0,0,4
122146,24,1,0,0,1,0,0,1,0,128,0.82,0.01,0,0,4
81860,12,9,42,75,190,0,0,1,0,254,1,0.01,0,0,4
57789,49,1,0,0,2,0,0,0.5,1,1,0,0.07,0,0,1
15036,20,9,749,0,2,0,0,1,0,46,0.29,0.45,0,0,4
88523,12,9,44,44,138,0,0,1,0,192,0.75,0.01,0,0,4
13464,41,5,0,0,96,1,1,0.01,0.07,1,0,0.07,1,1,0
88287,49,5,0,0,43,1,1,0.21,0.09,19,0.07,0.08,1,1,0
30109,60,5,0,0,48,0.98,1,0.23,0.1,31,0.12,0.05,1,1,0
84984,49,5,0,0,108,1,1,0.07,0.06,4,0.02,0.07,1,1,0
86190,12,9,46,46,12,0,0,1,0,255,1,0,0,0,4
66577,49,5,0,0,227,1,1,0.06,0.07,20,0.08,0.08,1,1,0
84007,15,9,1032,0,510,0,0,1,0,34,0.19,0.02,0,0,0
85821,44,1,0,0,511,0.13,0,0,1,1,0,1,0.13,0,1
124069,49,9,1,0,10,0,0,0.7,0.2,7,0.03,0.96,0.03,0,1
68156,49,1,0,0,1,0,0,1,0,2,0.05,1,0,0,1
112602,24,9,227,253,2,0,0,1,0,255,1,0,0,0,4
119932,24,1,0,0,1,0,0,1,0,209,1,0,0,0,4
45277,24,9,233,7501,14,0,0,1,0,255,1,0,0,0,4
41987,20,9,10272,0,11,0,0,1,0,78,0.31,0.04,0,0.01,4
117865,54,9,2524,321,1,0,0,1,0,224,0.82,0.02,0,0,4
70944,54,9,949,333,1,0,0,1,0,193,0.91,0.05,0,0,4
62358,12,9,32,32,1,0,0,1,0,239,0.94,0.01,0,0,4
11114,44,4,1,0,2,0,0,1,0,2,0.01,0.65,0,0,1
90083,49,5,0,0,270,1,1,0.04,0.06,10,0.04,0.09,1,1,0
24819,24,9,263,1053,1,0,0,1,0,123,0.97,0.02,0,0,4
45518,24,9,238,1112,14,0,0,1,0,255,1,0,0,0,4
16296,49,1,0,0,57,0,0,0.33,0.05,8,0.03,0.06,0,0,0
42929,14,9,8,0,1,0,0,1,0,30,1,0,0,0,1
79977,14,9,8,0,1,0,0,1,0,196,1,0,0,0,1
50683,20,9,1874,0,1,0,0,1,0,17,0.18,0.04,0,0,4
106692,24,9,239,2398,11,0,0,1,0,255,1,0,0,0,4
71915,24,9,236,2698,3,0,0,1,0,220,0.86,0.01,0,0,4
56179,14,9,8,0,1,0,0,1,0,41,1,0,0,0,1
32336,49,5,0,0,115,1,1,0.15,0.07,8,0.03,0.07,1,1,0
77771,49,5,0,0,193,1,1,0.03,0.06,14,0.05,0.07,1,1,0
106820,41,5,0,0,74,1,1,0.15,0.07,11,0.04,0.07,1,1,0
11112,49,5,0,0,171,1,1,0.05,0.06,9,0.04,0.05,1,1,0
26991,14,9,8,0,1,0,0,1,0,101,1,0,0,0,1
94664,24,1,0,0,1,0,0.89,1,0,203,1,0,0,0,4
30845,24,9,277,5538,3,0,0,1,0,255,1,0,0,0,4
